Tabelle: DD02T
Angezeigte Felder:  3 von  3  Feststehende Führungsspalten: 2  Listbreite 0250
------------------------------------------------------------------------------------------------------------
| |TABNAME                         |DDLANGUAGE|DDTEXT                                                      |
| |E1BPHUKEY                       |U         |Avain - BOR: käsittely-yksikön ulkoinen numero              |
| |E1BPHUREPACK                    |U         |Rakenne käsittely-yksikköjen uudelleenpakkaamista varten    |
| |E1BPIAITM                       |U         |Line items: activity allocation - BAPI's actual postings    |
| |E1BPIBDLVHDR                    |U         |Toimitus - otsikkokentät                                    |
| |E1BPIBDLVHDRCON                 |U         |Saapuvan toimituksen vahvistus - keräilytiedot - ots.taso   |
| |E1BPIBDLVHDRCTRLCON             |U         |Saapuvan toimituksen ohjaustiedot - otsikkotaso             |
| |E1BPIBDLVHDRORG                 |U         |Toimitus - organisaatioyksiköt                              |
| |E1BPIBDLVITEM                   |U         |Toimitus - rivi                                             |
| |E1BPIBDLVITEMCON                |U         |Saapuvan toimituksen vahvistus - keräilytiedot - rivitaso   |
| |E1BPIBDLVITEMCTRLCON            |U         |Saapuvan toimituksen ohjaustiedot - rivitaso                |
| |E1BPIBDLVITEMORG                |U         |Saapuva toimitus - rivi, organisaatiotiedot                 |
| |E1BPILHC                        |U         |Tietoliikennerakenne: muuta hyvitysluettelon otsikkotietoja |
| |E1BPILHCX                       |U         |Tietoliikennerakenne: muuta hyvitysluettelon ohjaustietoja  |
| |E1BPILHEADO                     |U         |Tietoliikennerakenne: hyvitysluettelon otsikkotiedot        |
| |E1BPILITEMO                     |U         |Tietoliikennerakenne: pyyntöluettelorivit                   |
| |E1BPITEMILO                     |U         |Tietoliikennerakenne: BAPI laskuluettelon luettelorivit     |
| |E1BPLFCDH                       |U         |Tietoliikennerakenne: agentuuritositteiden otsikkotiedot    |
| |E1BPLFCOND                      |U         |Tietoliikennerakenne: toimittajalaskun ehdot                |
| |E1BPLFCONDC                     |U         |Tietoliikennerakenne: muuta toimittajalaskun ehtoja         |
| |E1BPLFCONDCX                    |U         |Tietoliikennerakenne: toimittajalaskun ehtojen ohjaus       |
| |E1BPLFCONDU                     |U         |Tietoliikennerakenne: agentuuritapahtuman ehdot - asiakas   |
| |E1BPLFHC                        |U         |Tietoliikennerakenne: muuta toimittajalaskun otsikkotietoja |
| |E1BPLFHCX                       |U         |Tietoliikennerakenne: muuta toimittajalaskun ohjausta       |
| |E1BPLFHEAD                      |U         |Tietoliikennerakenne: toimittajalaskun otsikkotiedot        |
| |E1BPLFHEADO                     |U         |Tietoliikennerakenne: toimittajalaskun otsikkotiedot        |
| |E1BPLFIC                        |U         |Tietoliikennerakenne: muuta toimittajalaskun rivitietoja    |
| |E1BPLFICX                       |U         |Tietoliikennerakenne: muuta toimittajalaskun ohjausta       |
| |E1BPLFITEM                      |U         |Tietoliikennerakenne: toimittajalaskun rivitiedot           |
| |E1BPLFITEMO                     |U         |Tietoliikennerakenne: toimittajalaskun rivitiedot           |
| |E1BPMATHEAD                     |U         |Otsikkosegmentti + ohjaustiedot                             |
| |E1BPMSGPROT                     |U         |Sanomien käsittelyn käsittelyloki                           |
| |E1BPOBDLVHDR                    |U         |Läht. toimituksen otsikkokentät                             |
| |E1BPOBDLVHDRCON                 |U         |Lähtevän toim. vahvistus - keräilytiedot - otsikkotaso      |
| |E1BPOBDLVHDRCTRLCON             |U         |Lähtevän toimituksen ohjaustiedot - otsikkotaso             |
| |E1BPOBDLVHDRORG                 |U         |Läht. toimituksen organisaatioyksiköt                       |
| |E1BPOBDLVITEM                   |U         |Läht. toimituksen rivi                                      |
| |E1BPOBDLVITEMCON                |U         |Lähtevän toimituksen vahvistus - keräilytiedot - rivitaso   |
| |E1BPOBDLVITEMCTRLCON            |U         |Lähtevän toimituksen ohjaustiedot - rivitaso                |
| |E1BPOBDLVITEMDSP                |U         |Läht. toimitusten jako hajaut. järjestelmästä: rivitiedot   |
| |E1BPOBDLVITEMORG                |U         |Läht. toimituksen rivin organisaatiotiedot                  |
| |E1BPOBDLVITEMRFO                |U         |Läht. toimituksen rivin tilausviitetiedot                   |
| |E1BPOBDLVITEMSUPCON             |U         |Lähtevä toimitus - toimittajan kaupinta                     |
| |E1BPOUTPDEVEXT                  |U         |Profiili ja tulostin (30 mrk.) dyn. kirjoittimen ohjaukselle|
| |E1BPOUTPTYPE                    |U         |Sanomien valinnan perusteet                                 |
| |E1BPPAREX                       |U         |Viiterakenne BAPI-parametreille -  ExtensionIn/ExtensionOut |
| |E1BPPAREXX                      |U         |Valintapalkki -  ExtensionIn/ExtensionOut                   |
| |E1BPPARNR                       |U         |Tietoliikennekentät: myyntitositekumppani: WWW              |
| |E1BPPCAADD                      |U         |Sisäinen taulu PCA-automaattista kirjausta varten, ALE      |
| |E1BPPCADOC                      |U         |EC-PCA: toteumarivit                                        |
| |E1BPPCADOCPLAN                  |U         |EC-PCA: suunnitelmarivit                                    |
| |E1BPPCADOCPLAN1                 |U         |EC-PCA: suunnitelmarivit                                    |
| |E1BPPCADOCPLAN2                 |U         |EC-PCA: suunnitelmarivit                                    |
| |E1BPPCCOND                      |U         |Hinta - layout-alueen rivi                                  |
| |E1BPPCCONDX                     |U         |Muutosparametrit - BAPIPCCOND                               |
| |E1BPPCLTEXT                     |U         |Layout-objektin selityksen rivit                            |
| |E1BPPCLTEXTX                    |U         |Muutosparametrit - BAPIPCLTEXT                              |
| |E1BPPCMAKT                      |U         |Nimikkeen lyhyt selitys                                     |
| |E1BPPCMAKTX                     |U         |Muutosparametrit kohteelle                                  |
| |E1BPPCPCTRL                     |U         |CO-suunnittelu: ohjausarvot, toimintosuunnitelman BAPIt     |
| |E1BPPCPOBJ                      |U         |CO-suunnittelu: Objects for Primary Costs BAPIs             |
| |E1BPPCPTOT                      |U         |CO-suunnittelu: Values for Primary Costs BAPIs              |
| |E1BPPCPVAL                      |U         |CO-suunnittelu: Values for Primary Costs BAPIs              |
| |E1BPPCPVAL1                     |U         |CO-suunnittelu: Values for Primary Costs BAPIs              |
| |E1BPPCTWGLV                     |U         |Layout-alue                                                 |
| |E1BPPCTWGLVT                    |U         |Layout-alueen nimitys                                       |
| |E1BPPCTWGLVTX                   |U         |Muutosparametrit - BAPIPCTWGLVT                             |
| |E1BPPCTWGLVX                    |U         |Muutosparametrit - BAPIPCTWGLV                              |
| |E1BPPCTWGV                      |U         |Tuoteluetteloasettelu                                       |
| |E1BPPCTWGVT                     |U         |Layout-nimitys                                              |
| |E1BPPCTWGVTX                    |U         |Muutosparametrit - BAPIPCTWGVT                              |
| |E1BPPCTWGVX                     |U         |Muutosparametrit - BAPIPCTWGV                               |
| |E1BPPCWLBM                      |U         |Layout-aluerivi                                             |
| |E1BPPCWLBMX                     |U         |Muutosparametrit - BAPIPCWLBM                               |
| |E1BPPCWLMT                      |U         |Layout-objektin otsikko                                     |
| |E1BPPCWLMTX                     |U         |Muutosparametrit - BAPIPCWLMT                               |
| |E1BPPCWWMI                      |U         |Tuoteluettelon perustiedot                                  |
| |E1BPPCWWMIT                     |U         |Tuoteluettelon nimitys                                      |
| |E1BPPCWWMITX                    |U         |Muutosparametrit - BAPIPCWWMIT                              |
| |E1BPPCWWMIX                     |U         |Muutosparametrit - BAPIPCWWMI                               |
| |E1BPPCWWMV                      |U         |Tuoteluettelovariantti                                      |
| |E1BPPCWWMVX                     |U         |Muutosparametrit - BAPIPCWWMV                               |
| |E1BPPCWWVT                      |U         |Tuoteluettelovariantin nimitys                              |
| |E1BPPCWWVTX                     |U         |Muutosparametrit - BAPIPCWWVT                               |
| |E1BPPLHC                        |U         |Tietoliikennerakenne: muuta kirjausluettelon otsikkotietoja |
| |E1BPPLHCX                       |U         |Tietoliikennerakenne: muuta kirjausluettelon ohjaustietoja  |
| |E1BPPLHEADO                     |U         |Tietoliikennerakenne: kirjausluettelotositteen otsikkotiedot|
| |E1BPPLITEMO                     |U         |Tietoliikennerakenne: kirjausluettelon luettelotiedot       |
| |E1BPPLNHDR                      |U         |CO-suunnittelu: otsikkoinfo, BAPIt                          |
| |E1BPPLNHDRTRANS                 |U         |CO-suunnittelu: otsikkoinfo, BAPIt                          |
| |E1BPPLNHDRTRANS2                |U         |CO-suunnittelu: otsikkoinfo, BAPIt                          |
| |E1BPPLNHDR_SKF                  |U         |CO-suunnittelu: otsikkoinfot - til.tunnuslukujen BAPIt      |
| |E1BPPRICATHEADER                |U         |PRICAT: luettelon otsikkotiedot                             |
| |E1BPPRODCHARACT                 |U         |PRICAT: luettelorvi, ominaisuudet                           |
| |E1BPPRODCOMPONENT               |U         |PRICAT: luettelorivi, rakenteet                             |
| |E1BPPRODGRPINFO                 |U         |PRICAT: tuoteryhmätiedot                                    |
| |E1BPPRODUCTADDS                 |U         |PRICAT: nimikeperustiedot, lisät                            |
| |E1BPPRODUCTLINE                 |U         |PRICAT: nimikeperustiedot                                   |
| |E1BPPRODUNITPRICE               |U         |PRICAT: nimikkeen määräyksiköt, hinnat, arvonlisävero       |
| |E1BPPRODUNITS                   |U         |PRICAT: nimikkeen määräyksiköt, mitat, painot, EAN          |
| |E1BPPRODUNITTEXT                |U         |PRICAT: nimikkeen määräyksiköt, tekstit                     |
| |E1BPPROGDEF                     |U         |Ohjelman määritys                                           |
| |E1BPPROGDEFNEW                  |U         |Ohjelman määritys                                           |
| |E1BPPROGDEFOLD                  |U         |Ohjelman määritys                                           |
| |E1BPQMTB_LONGTEXT               |U         |BAPI-rakenne - ALE-jako - selitykset - tarkastusmenetelmä   |
| |E1BPQMTB_QMTB                   |U         |BAPI-rakenne - ALE-jako - tarkastusmenetelmä                |
| |E1BPQMTB_QMTT                   |U         |BAPI-rakenne - ALE-jako - lyhyet selitykset - tark.menetelmä|
| |E1BPQPGR_CD_LTXT                |U         |BAPI rakenne ALE jako selitysrivit koodit                   |
| |E1BPQPGR_GRP_LTXT               |U         |BAP rakenne ALE jako selitykset luettelot/koodiryhmät       |
| |E1BPQPGR_QPCD                   |U         |BAPI rakenne ALE jako koodiryhmän/luettelon koodit          |
| |E1BPQPGR_QPCT                   |U         |BAPI rakenne ALE jako lyh. selitykset luettelot/koodiryhmät |
| |E1BPQPGR_QPGR                   |U         |BAPI rakenne tarkastusluettelo koodiryhmät                  |
| |E1BPQPGR_QPGT                   |U         |BAPI rakenne ALE jako lyh. selitykset luettelot/koodiryhmät |
| |E1BPQPMK_LONGTEXT               |U         |BAPI-rakenne: ALE-jako - selitykset - perustark.ominaisuus  |
| |E1BPQPMK_QPMK                   |U         |BAPI-rakenne ALE-jako - perustarkastusominaisuus            |
| |E1BPQPMK_QPMT                   |U         |BAPI-rakenne: ALE-jako - lyhyet selitykset - per.tark.omin. |
| |E1BPQPMK_QPMZ                   |U         |BAPI-rak. ALE-jako - tark.menetelmän/p.tark.omin. kohdistus |
| |E1BPQPMK_SMPL_LTXT              |U         |BAPI-rak. ALE-jako - selitykset - näytteenotto, per.tark.om.|
| |E1BPRCITM                       |U         |Line items: repost primary costs - BAPI's actual postings   |
| |E1BPRESBC                       |U         |Siirtorakenne - luo - varausrivi                            |
| |E1BPRKPFC                       |U         |Siirtorakenne - luo - varauksen otsikko                     |
| |E1BPRRITM                       |U         |Line items: repost revenues - BAPI's actual postings        |
| |E1BPSCHDL                       |U         |Tietol.kentät: myyntitositteen toimitusaikat.rivin ylläpito |
| |E1BPSCHDLX                      |U         |Valintapalkki myyntitos.toim.aikataulurivin ylläpitoa varten|
| |E1BPSDHD1                       |U         |Tietoliikennekentät: myyntitositeotsikko                    |
| |E1BPSDHD1X                      |U         |Valintaruudut: myyntitositeotsikko                          |
| |E1BPSDITM                       |U         |Tietoliikennekentät: myyntitositerivi                       |
| |E1BPSDITM1                      |U         |Tietoliikennekentät: myyntitositerivi                       |
| |E1BPSDITMX                      |U         |Tietoliikennekentät: myyntitositerivi                       |
| |E1BPSDKEY                       |U         |Avain myyntitositteessa                                     |
| |E1BPSDLS                        |U         |SD merkkipalkki loogista kytkentää varten                   |
| |E1BPSDTEXT                      |U         |Tietoliikennekentät: myyntitekstit                          |
| |E1BPSET_HIER                    |U         |Liittymärakenne ryhmiä varten - hierarkiataulu              |
| |E1BPSHPDELIVNUMB                |U         |Toimitusnumero                                              |
| |E1BPSKFITM                      |U         |Line items: statistical key figures - BAPI's actual postings|
| |E1BPSKFOBJ                      |U         |CO-suunnittelu: Objects for Stat. Key Figure Plan BAPIs     |
| |E1BPSKFTOT                      |U         |CO-suunnittelu: Total Values for Key Figure Plan BAPIs      |
| |E1BPSKFVAL                      |U         |CO-suunnittelu: Total Values for Key Figure Plan BAPIs      |
| |E1BPSLHC                        |U         |Tietoliikennerakenne: maksupyyntöluettelon otsikkotiedot    |
| |E1BPSLHCX                       |U         |Tietoliikennerakenne: muuta maksupyyntöluettelon ohjausta   |
| |E1BPSLHEAD                      |U         |Tietoliikennerakenne: maksupyyntöluettelon otsikkotiedot    |
| |E1BPSLITEMO                     |U         |Tietoliikennerakenne: pyyntöluettelorivit                   |
| |E1BPSLLIST                      |U         |Agentuuriliiketapaht.: pyyntöluettelon ots.tiedot (GetList) |
| |E1BPSRHEADO                     |U         |Tietoliikennerakenne: maksutositteen otsikkotiedot          |
| |E1BPSRITEMO                     |U         |Tietoliikennerakenne: maksutositteen rivitiedot             |
| |E1BPVENDOR_CHARVALUE            |U         |Toimittajaominaisuusarvojen ylläpito                        |
| |E1BP_BMUOM_ALT_UOM              |U         |Osuus-/tuotemääräyksikkö: vaihtoehtoiset määräyksiköt       |
| |E1BP_BMUOM_ALT_UOMX             |U         |Osuus-/tuotemääräyksikkö: vaihtoeht. MY - muutosparametri - |
| |E1BP_BMUOM_ATTRIBUTES           |U         |Osuus-/tuotemääräyksiköiden määritteet                      |
| |E1BP_BMUOM_ATTRIBUTESX          |U         |Osuus-/tuotemääräyksiköiden määritteet - muutosparametri -  |
| |E1BP_BMUOM_MATERIAL_DATA        |U         |Eräkohtaiset määräyksiköt - tarpeelliset nimiketiedot       |
| |E1BP_BMUOM_MATERIAL_DATAX       |U         |Eräkohtaiset määräyksiköt - nimiketiedot - muutosparametri -|
| |E1BP_BMUOM_SPEC_FUNCTION        |U         |Osuus- ja tuotemääräyksiköt: erityistoiminnot               |
| |E1BP_BMUOM_SPEC_FUNCTIONX       |U         |Osuus-/tuotemääräyks.: erityistoiminnot - muutosparametrit -|
| |E1BP_BUS1037_VBKAKOM_CR         |U         |BO BUS1037: myyntikontaktin muuttotilan yleiset tiedot      |
| |E1BP_BUS1037_VBKAKOM_CRX        |U         |BO BUS1037: myyntikontaktin muuttotilan yleiset tiedot      |
| |E1BP_CHARACTERISTIC_VALUES      |U         |BAPI-rakenne, ominaisuuden arvonmääritys                    |
| |E1BP_CLASS_ALLOCATION           |U         |BAPI-rakenne objektin luokkakohdistusta varten              |
| |E1BP_CORU_ACTIV                 |U         |Toimintovahvistukset                                        |
| |E1BP_CORU_RETURN                |U         |APIt - palautusinformaatio                                  |
| |E1BP_DOC_COMP                   |U         |BAPIS-AKH (asiakirjanhallinta): alkuper. asiakirj. kompon.  |
| |E1BP_DOC_DRAD                   |U         |BAPIS asiakirjahallinta: asiakirjan objektiyhteydet         |
| |E1BP_DOC_DRAP                   |U         |BAPIS asiakirjahallinta: tilaloki                           |
| |E1BP_DOC_DRAT                   |U         |BAPIS-DVS (asiakirjahallinta): lyhyet tekstit               |
| |E1BP_DOC_DRAW2                  |U         |BAPIS-AKH (asiakirjanhallinta): asiakirjatiedot             |
| |E1BP_DOC_DRAW21                 |U         |BAPIS-AKH (asiakirjanhallinta): asiakirjatiedot             |
| |E1BP_DOC_DRAWX2                 |U         |BAPIS-AKH (asiakirjanhallinta): X-rakenne asiakirjatiedoille|
| |E1BP_DOC_FILES2                 |U         |BAPIS-AKH (asiakirjahall.): asiakirjojen alkuperäiskappaleet|
| |E1BP_DOC_TEXT                   |U         |BAPIS-DVS (asiakirjahall.): asiakirjan selitystekstitiedot  |
| |E1BP_ITOB                       |U         |PM: BAPI-rakenne -> ITOBAPI_CREATE + READ-kentät            |
| |E1BP_ITOBX                      |U         |PM: BAPI_ITOB:iin kuuluva merkkirak. (muutos-BAPI:ille)     |
| |E1BP_ITOB_EQ_INSTALL            |U         |PM: BAPI-rakenne asennus-/purkulaitteille                   |
| |E1BP_ITOB_EQ_ONLY               |U         |PM: BAPI-rakenne -> ITOBAPI_CREATE_EQ_ONLY + READ-kentät    |
| |E1BP_ITOB_EQ_ONLYX              |U         |PM: BAPI_ITOB_EQ_ONLY:iin kuuluva merkkirak. (muutos-BAPI)  |
| |E1BP_ITOB_FL_ONLY               |U         |PM: BAPI-rakenne -> ITOBAPI_CREATE_FL_ONLY + READ-kentät    |
| |E1BP_ITOB_FL_ONLYX              |U         |PM: BAPI_ITOB_FL_ONLY:iin kuuluva merkkirak. (muutos-BAPI)  |
| |E1BP_LINK_CONF_GOODSMOV         |U         |Yhteys: vahvistus, varastotapahtumat                        |
| |E1BP_MAKT                       |U         |Nimikkeen lyhyet selitykset                                 |
| |E1BP_MARA                       |U         |Järjestelmätason nimiketiedot                               |
| |E1BP_MARAX                      |U         |Valintapalkki - BAPI_MARA                                   |
| |E1BP_MARC                       |U         |Toimipistetason nimiketiedot                                |
| |E1BP_MARCX                      |U         |Valintapalkki - BAPI_MARC                                   |
| |E1BP_MARD                       |U         |Varastotason nimiketiedot                                   |
| |E1BP_MARDX                      |U         |Valintapalkki - BAPI_MARD                                   |
| |E1BP_MARM                       |U         |Määräyksiköt                                                |
| |E1BP_MARMX                      |U         |Valintapalkki - BAPI_MARM                                   |
| |E1BP_MATRETURN2                 |U         |Korvaava rakenne palautusparametrille BAPIRET2              |
| |E1BP_MBEW                       |U         |Arvonmääritystiedot                                         |
| |E1BP_MBEWX                      |U         |Valintapalkki - BAPI_MBEW                                   |
| |E1BP_MEAN                       |U         |EAN-koodit                                                  |
| |E1BP_MFHM                       |U         |Nimikeperustietojen tuotantoapuvälinekentät                 |
| |E1BP_MFHMX                      |U         |Valintapalkki - BAPI_MFHM                                   |
| |E1BP_MLAN                       |U         |Verotiedot                                                  |
| |E1BP_MLGN                       |U         |Varastonumerotiedot                                         |
| |E1BP_MLGNX                      |U         |Valintapalkki - BAPI_MLGN                                   |
| |E1BP_MLGT                       |U         |Varastotyyppitiedot                                         |
| |E1BP_MLGTX                      |U         |Valintapalkki - BAPI_MLGT                                   |
| |E1BP_MLTX                       |U         |Selitykset                                                  |
| |E1BP_MPGD                       |U         |Muutostositerakenne: nimikeperustiedot/tuoteryhmä           |
| |E1BP_MPGDX                      |U         |Valintapalkki - BAPI_MPGD                                   |
| |E1BP_MPOP                       |U         |Ennusteparametrit                                           |
| |E1BP_MPOPX                      |U         |Valintapalkki - BAPI_MPOP                                   |
| |E1BP_MVKE                       |U         |Myyntitiedot                                                |
| |E1BP_MVKEX                      |U         |Valintapalkki - BAPI_MVKE                                   |
| |E1BP_PDC_WORKCENTER             |U         |Tuotantotietojen rekisteröinnin työpisteen perustiedot      |
| |E1BP_PLL80                      |U         |Logistiikan integrointi: vahvistukset                       |
| |E1BP_PP_PDC_OPENEVENT           |U         |Tuotantotiet. rek. imur. av. aikatapahtumat tietoliik.kan. 2|
| |E1BP_PP_PDC_OPERA1              |U         |T.tiet. rek. imur. poistett. vaiheet - tietoliik.kan. 2 BAPI|
| |E1BP_PP_PDC_OPERA2              |U         |Tuot.tiet. rek. imur. vaihetiedot - tietoliik.kanavan 2 BAPI|
| |E1BP_PP_TIMEEVENT               |U         |Tuotantotilauksen vahvistus                                 |
| |E1BP_PP_TIMETICKET              |U         |BAPI-rakenne, PP-vahvistustyökortti                         |
| |E1BP_PTK50                      |U         |TE-versio matkatiedot, joissa TE-KEY BAPI:lle               |
| |E1BP_PTK51                      |U         |Matkan tila, jossa TE-Key BAPI:lle                          |
| |E1BP_PTK52                      |U         |Tila/muuttaja, jossa TE-Key BAPI:lle                        |
| |E1BP_PTK53                      |U         |Matkakulukohdistuksen vakioarvo, jossa TE-avain BAPI:lle    |
| |E1BP_PTK54                      |U         |Matkakulujen laskentatulokset, joissa TE-Key BAPI:lle       |
| |E1BP_PTK55                      |U         |ITAB V0SPLIT:n rakenne, jossa TE-Key BAPI:lle               |
| |E1BP_PTP02                      |U         |Matkakulutaulun PTRV_HEAD rakenne                           |
| |E1BP_PTP42                      |U         |Läpin. taulun PTRV_PERIO rakenne                            |
| |E1BP_RANGESBLDAT                |U         |BAPI valintarakenne: tositepäivämäärä                       |
| |E1BP_RANGESBUKRS                |U         |BAPI valintarakenne: yritys                                 |
| |E1BP_RANGESEKGRP                |U         |BAPI valintarakenne: ostoryhmä                              |
| |E1BP_RANGESEKORG                |U         |BAPI valintarakenne: osto-organisaatio                      |
| |E1BP_RANGESKIDNO                |U         |BAPI valintarakenne: maksuviite                             |
| |E1BP_RANGESKUNNR                |U         |BAPI valintarakenne: asiakas                                |
| |E1BP_RANGESLFART                |U         |BAPI valintarakenne: maksulajit                             |
| |E1BP_RANGESLIFNR                |U         |BAPI valintarakenne: toimittaja                             |
| |E1BP_RANGESRFBSK                |U         |BAPI valintarakenne: kirjaustila                            |
| |E1BP_RANGESSPART                |U         |BAPI valintarakenne: sektori                                |
| |E1BP_RANGESVKORG                |U         |BAPI valintarakenne: myyntiorganisaatio                     |
| |E1BP_RANGESVTWEG                |U         |BAPI valintarakenne: jakelutie                              |
| |E1BP_RANGESWFDAT                |U         |BAPI valintarakenne: kirjauspäivämäärä                      |
| |E1BP_RANGESWFDAT_RL             |U         |BAPI valintarakenne: kirjauspäivämäärä, laskuluettelo       |
| |E1BP_RANGESWRART                |U         |BAPI valintarakenne: maksulajit                             |
| |E1BP_RANGESXBLNR                |U         |BAPI valintarakenne: viitenumero                            |
| |E1BP_RANGESZUONR                |U         |BAPI valintarakenne: kohdistusnumero                        |
| |E1BP_RESOURCECO_MASTERDATA      |U         |Resurssiperustiedot ALE-skenaariota varten BAPIen avulla    |
| |E1BP_SENDER                     |U         |Lähettäjän looginen järjestelmä                             |
| |E1BP_VBKA_CONTROL               |U         |BO VBKA: Business-objekti, ohjaustiedot                     |
| |E1BP_VBKA_TLINEKOM              |U         |BO VBKA: selitykset                                         |
| |E1BP_VBKA_TLINEKOMX             |U         |BO VBKA: selitykset                                         |
| |E1BP_VBKA_VBPA2KOM              |U         |BO VBKA: liikekumppani + objektitunnus                      |
| |E1BP_VBKA_VBPA2KOMX             |U         |BO VBKA: liikekumppani - merkkirakenne                      |
| |E1BP_WBS_HIERARCHIE             |U         |BAPI-siirtorakenne: projektirakennehierarkia                |
| |E1BP_WRPL_IMPORT                |U         |Tuontiparametrit täydennysperustieto-BAPIa varten           |
| |E1BP_WRPL_IMPORTX               |U         |Valintapalkki täydennysperustieto-BAPIa varten              |
| |E1BUPA_CENTRAL                  |U         |Otsikkosegmentti                                            |
| |E1BUSINESSPROCESSCOGRP_ADDN     |U         |Otsikkosegmentti                                            |
| |E1BUSINESSPROCESSCOGRP_CREA     |U         |Otsikkosegmentti                                            |
| |E1CABNM                         |U         |Perusominaisuus, perustiedot                                |
| |E1CABTM                         |U         |Pääominaisuus - kielikohtainen kuvaus                       |
| |E1CABXM                         |U         |Pääluokka - korvattu ominaisuus luokassa                    |
| |E1CABZM                         |U         |Pääominaisuus - kohdistetut taulukentät                     |
| |E1CAP_ACTIN                     |U         |Otsikkosegmentti                                            |
| |E1CAP_ACTOUT                    |U         |Otsikkosegmentti                                            |
| |E1CAP_KEYFIG                    |U         |Otsikkosegmentti                                            |
| |E1CAP_PRIMCOST                  |U         |Otsikkosegmentti                                            |
| |E1CATS_CHANGE                   |U         |Otsikkosegmentti                                            |
| |E1CATS_DELETE                   |U         |Otsikkosegmentti                                            |
| |E1CATS_INSERT                   |U         |Otsikkosegmentti                                            |
| |E1CAWNM                         |U         |Pääominaisuus - ominaisuusarvo                              |
| |E1CAWTM                         |U         |Pääominaisuusarvo - kielikohtainen kuvaus                   |
| |E1CCI01                         |U         |QM: ominaisuus                                              |
| |E1CFPLT                         |U         |Jako: SIS - laskutussuunnitelma                             |
| |E1CHADP                         |U         |Luok. riippuvuuksien kohdistus luokkien ominaisuuksiin      |
| |E1CHAIP                         |U         |Käyttäjämerkintä ei sallittu luokkien ominaisuuksille       |
| |E1CHAPS                         |U         |Luokkien ominaisuuksien rivit                               |
| |E1CHARA                         |U         |Ominaisuuksien perustiedot                                  |
| |E1CHARACTERISTIC_CREATE         |U         |Otsikkosegmentti                                            |
| |E1CHARF                         |U         |Ominaisuuksien viitteet R/3 taulujen kenttiin               |
| |E1CHATX                         |U         |Ominaisuuksien kielisidonnaiset nimitykset                  |
| |E1CHAVS                         |U         |Luokkien ominaisuudet taustalla/edustalla                   |
| |E1CKONV                         |U         |SIS - ehtosegmentti                                         |
| |E1CLACM                         |U         |Klassisten riippuvuuksien käännös                           |
| |E1CLASS                         |U         |00-luokat (luokat, nimikkeet, taulut, toiminnot)            |
| |E1CLASSIFICATION_CREATE         |U         |Otsikkosegmentti                                            |
| |E1CLASS_CREATE                  |U         |Otsikkosegmentti                                            |
| |E1CLASS_CREATESUBCLASSALLOC     |U         |Otsikkosegmentti                                            |
| |E1CLASS_CREATESUBSTRUCTURE      |U         |Otsikkosegmentti                                            |
| |E1CLIKP                         |U         |SIS, toimituksen otsikkotiedot                              |
| |E1CLIP2                         |U         |SIS - toimitusrivi, toinen osa                              |
| |E1CLIPS                         |U         |SIS - toimitusrivi, ensimmäinen osa                         |
| |E1CLNDM                         |U         |Luokkien numeeristen ominaisuuksien määreet                 |
| |E1CLPRC                         |U         |Luokkien arvojärjestysluettelo                              |
| |E1CLSDM                         |U         |Määreet luokkien merkkijono-ominaisuuksille                 |
| |E1CLVAL                         |U         |Arvojen kohdistus luokkien ominaisuuksiin                   |
| |E1CLVTX                         |U         |Kielisidonnaiset nimitykset luokkien ominaisuusarvoille     |
| |E1CMCCO                         |U         |Yleiset tarkistuskentät päivitykseen                        |
| |E1CMDES                         |U         |TR/CM-IDOC: TR-CM-yksittäistietueet                         |
| |E1CMDSB                         |U         |TR/CM-IDOC: päivän maksuvalmiustila                         |
| |E1CMDSR                         |U         |TR/CM-IDOC: suunnitteluryhmät                               |
| |E1CMGNR                         |U         |Lähettäjän yleiset tiedot                                   |
| |E1CMWAE                         |U         |TR-CM: lähettävän järjest. kotivaluutta                     |
| |E1CNT                           |U         |Valvontatiedot (tehtävät ja tapahtumat)                     |
| |E1CNTDP                         |U         |Riippuvuusverkkojen kohdistus tehtäviin ja tapahtumiin      |
| |E1CNTTX                         |U         |Tehtävien ja tapahtumien kielisidonnaiset nimitykset        |
| |E1COABCM                        |U         |Otsikkosegmentti                                            |
| |E1COABCV                        |U         |Otsikkosegmentti                                            |
| |E1COABC_BUSPROCSTRUCTURE_CR     |U         |Otsikkosegmentti                                            |
| |E1COBK                          |U         |CO-tositteen IDOC: tositteen otsikko                        |
| |E1COEP                          |U         |IDOC: CO-tosite: rivit (arvot)                              |
| |E1COEPL                         |U         |CO-tositten IDOC: rivit - toimintolajit                     |
| |E1COGH                          |U         |CO-ryhmien IDOC: otsikko                                    |
| |E1COGHR                         |U         |CO-ryhmien IDOC: otsikon Report Writer -tiedot              |
| |E1COGHT                         |U         |CO-ryhmien IDOC: otsikkotekstit                             |
| |E1COGS                          |U         |CO-ryhmien IDOC: alisolmut                                  |
| |E1COGSR                         |U         |CO-ryhmien IDOC: aliryhmien Report Writer -tiedot           |
| |E1COGV                          |U         |CO-ryhmien IDOC: arvot loppusolmussa                        |
| |E1COGVR                         |U         |CO-ryhmien IDOC: arvojen Report Writer -tiedot              |
| |E1COGVT                         |U         |CO-ryhmien IDOC: arvojen tekstit                            |
| |E1COKA                          |U         |IDOC: tarkastussegmentti CO-objekti/kustannuslaji: segm.COKA|
